Gravity,The force that attracts objects toward one another
Photosynthesis,The process by which green plants use sunlight to make food
Light,The visible form of electromagnetic energy that enables sight and travels in waves.
Electron,A subatomic particle with a negative electric charge that orbits the nucleus of an atom.
Proton,A subatomic particle with a positive electric charge found in the nucleus of an atom.
Neutron,"A subatomic particle with no electric charge, found in the nucleus of an atom alongside protons."
Atom,"The smallest unit of an element, consisting of a nucleus surrounded by electrons."
Current,"The flow of electric charge, typically carried by moving electrons in a wire or other conductor."
Hydrogen,"The simplest and most abundant chemical element, consisting of one proton and one electron."
Oxygen,"A chemical element essential for respiration and combustion, consisting of atoms with 8 protons and typically 8 neutrons and electrons."
Oxytocin,"A hormone produced in the brain that plays a key role in social bonding, childbirth, and breastfeeding."
Testostrone,"The primary male sex hormone that regulates muscle mass, mood, and reproductive function."
Estrogen,A group of hormones responsible for the development and regulation of the female reproductive system and secondary sexual characteristics.
Watt,"The unit of power, measuring the rate at which electrical energy is transferred or consumed."
Power,"The rate at which electrical energy is generated, transmitted, or used, measured in watts."
Speed,"The rate at which an object covers distance, measured as distance traveled per unit of time."
Ampere,"The unit of electric current, measuring the flow of electric charge through a conductor per second."
Volt,"The unit of electric potential or electromotive force, measuring the difference in energy between two points in an electrical circuit."
Retina,The light-sensitive layer of tissue at the back of the eye that converts light into neural signals for vision.
Cataract,"A clouding of the eye's natural lens, leading to blurred or dimmed vision."
Bacteria," Single-celled microorganisms that can be found everywhere and may be beneficial, neutral, or harmful."
Germs,"A general term for microscopic organisms that can cause disease, including bacteria, viruses, fungi, and some parasites."
Microorganisims,"Tiny living organisms, including bacteria, viruses, fungi, and protozoa, often visible only under a microscope."
Microbes,"A shortened term for microorganisms, referring to microscopic life forms."
Organisims,"Any living entity, such as plants, animals, humans, or microorganisms, capable of carrying out life processes."
Protein,"A large molecule composed of amino acids, essential for the structure, function, and regulation of the body's tissues and organs."
Fat,"A nutrient that serves as a concentrated source of energy and is involved in cell structure, hormone production, and nutrient absorption."
Carbs,"A macronutrient made up of sugars, starches, and fibers, serving as a primary source of energy for the body."
Uranium,"A heavy, radioactive metallic element used as a fuel in nuclear reactors and weapons."
Gold,"A dense, yellow precious metal known for its luster and resistance to corrosion, often used in jewelry and electronics."
